setting,epoch,train_total_loss,train_recon,train_divergence,train_stability,val_recon,val_divergence,val_stability,train_frac_safe,train_frac_unsafe,train_safe_acc,train_unsafe_acc,train_overall_acc,train_err_safe,train_err_unsafe,train_err_overall,val_frac_safe,val_frac_unsafe,val_safe_acc,val_unsafe_acc,val_overall_acc,val_err_safe,val_err_unsafe,val_err_overall
basic,1,0.1395298937956492,0.1165858581662178,0.0031676689783732095,,0.13260121643543243,0.0016089677810668945,,0.9176432291666666,0.08235677083333333,1.0,0.0,0.9176432291666666,0.0,1.0,0.08235677083333337,0.913,0.087,1.0,0.0,0.913,0.0,1.0,0.08699999999999997
basic,2,0.11240945259730022,0.09816081076860428,0.0045210520426432295,,0.11083716154098511,0.009342312812805176,,0.9176432291666666,0.08235677083333333,1.0,0.0,0.9176432291666666,0.0,1.0,0.08235677083333337,0.913,0.087,1.0,0.0,0.913,0.0,1.0,0.08699999999999997
basic,3,0.09151557087898254,0.07670978208382924,0.01073924700419108,,0.08497229218482971,0.01714777946472168,,0.9166666666666666,0.08333333333333333,1.0,0.0,0.9166666666666666,0.0,1.0,0.08333333333333337,0.913,0.087,1.0,0.0,0.913,0.0,1.0,0.08699999999999997
basic,4,0.06826647495230038,0.046860636522372566,0.01240400473276774,,0.052066076546907425,0.01945209503173828,,0.9140625,0.0859375,1.0,0.0,0.9140625,0.0,1.0,0.0859375,0.913,0.087,1.0,0.0,0.913,0.0,1.0,0.08699999999999997
basic,5,0.036387151728073754,0.017776040360331535,0.011450688044230143,,0.01924542523920536,0.01840651035308838,,0.9192708333333334,0.08072916666666667,1.0,0.06451612903225806,0.9244791666666666,0.0,0.935483870967742,0.07552083333333337,0.913,0.087,1.0,0.09195402298850575,0.921,0.0,0.9080459770114943,0.07899999999999996
basic,6,0.01899398925403754,0.026141501342256863,0.00960993766784668,,0.027117177844047546,0.015011191368103027,,0.921875,0.078125,0.9876412429378532,0.725,0.9671223958333334,0.012358757062146841,0.275,0.03287760416666663,0.913,0.087,0.9868565169769989,0.7471264367816092,0.966,0.013143483023001057,0.25287356321839083,0.03400000000000003
basic,7,0.021320965761939686,0.01239658830066522,0.006266951560974121,,0.012831802479922771,0.010402083396911621,,0.9150390625,0.0849609375,1.0,0.36398467432950193,0.9459635416666666,0.0,0.6360153256704981,0.05403645833333337,0.913,0.087,1.0,0.3563218390804598,0.944,0.0,0.6436781609195402,0.05600000000000005
basic,8,0.0099452401821812,0.008563061865667502,0.006984392801920573,,0.008887607604265213,0.009280681610107422,,0.9202473958333334,0.07975260416666667,1.0,0.08979591836734693,0.9274088541666666,0.0,0.9102040816326531,0.07259114583333337,0.913,0.087,1.0,0.14942528735632185,0.926,0.0,0.8505747126436781,0.07399999999999995
basic,9,0.008266592553506294,0.00848381919786334,0.0047461191813151045,,0.009370454587042332,0.007027387619018555,,0.9173177083333334,0.08268229166666667,1.0,0.06299212598425197,0.9225260416666666,0.0,0.937007874015748,0.07747395833333337,0.913,0.087,1.0,0.08045977011494253,0.92,0.0,0.9195402298850575,0.07999999999999996
basic,10,0.008082477996746698,0.006943923110763232,0.001157840092976888,,0.007745446637272835,0.002652764320373535,,0.9225260416666666,0.07747395833333333,1.0,0.08403361344537816,0.9290364583333334,0.0,0.9159663865546218,0.07096354166666663,0.913,0.087,1.0,0.09195402298850575,0.921,0.0,0.9080459770114943,0.07899999999999996
