model_name,epoch,train_loss,train_acc,val_loss,val_acc,val_mean_prob
label_bce,1,0.4616655260324478,0.77783203125,0.23794377088546753,0.92125,0.8855861043930053
label_bce,2,0.19336479405562082,0.9226888020833334,0.14960506319999695,0.92125,0.8888536167144775
label_bce,3,0.1326962411403656,0.9376627604166666,0.10219176173210144,0.95,0.9210205078125
label_bce,4,0.10779685154557228,0.9449869791666666,0.086653451025486,0.9625,0.9427480220794677
label_bce,5,0.09427704537908237,0.9560546875,0.07446827352046967,0.965625,0.9291306138038635
label_bce,6,0.07729643645385902,0.9654947916666666,0.06362829133868217,0.97625,0.9139145612716675
label_bce,7,0.06392291498680909,0.9716796875,0.03809755995869637,0.9875,0.9162359642982483
label_bce,8,0.04869215749204159,0.9801432291666666,0.03716965913772583,0.986875,0.9268626165390015
label_bce,9,0.03728210118909677,0.9861653645833334,0.03660632908344269,0.984375,0.9249896168708801
label_bce,10,0.034117987379431725,0.9861653645833334,0.025703523457050324,0.990625,0.9154222512245178
label_bce,11,0.028352974603573482,0.9890950520833334,0.018568637818098067,0.993125,0.9184956502914429
label_bce,12,0.028047658503055573,0.9890950520833334,0.03356754034757614,0.98625,0.91578191280365
label_bce,13,0.04252116692562898,0.9803059895833334,0.028448143601417543,0.986875,0.9309037494659423
label_bce,14,0.04272403195500374,0.9811197916666666,0.03937238574028015,0.980625,0.9235802602767944
label_bce,15,0.03358580358326435,0.9866536458333334,0.03833804547786713,0.98375,0.9249765348434448
label_bce,16,0.03469643990198771,0.98681640625,0.030321086049079893,0.985,0.9322494077682495
label_bce,17,0.0358447361116608,0.9842122395833334,0.026980427950620653,0.98875,0.9330008602142335
label_bce,18,0.030181823919216793,0.9861653645833334,0.022316772043704986,0.990625,0.9249805045127869
label_bce,19,0.024672663770616055,0.9903971354166666,0.023696497082710266,0.99125,0.9262773752212524
label_bce,20,0.024431379201511543,0.9903971354166666,0.029548320472240448,0.985625,0.9287226343154907
label_bce,21,0.02471527208884557,0.9894205729166666,0.019094492420554162,0.994375,0.9246073365211487
label_bce,22,0.023555136596163113,0.9886067708333334,0.0198531374335289,0.99,0.9257175874710083
label_bce,23,0.030346558739741642,0.9864908854166666,0.019429172165691854,0.99125,0.9182082533836364
label_bce,24,0.03201515941570202,0.9855143229166666,0.020911740660667418,0.99,0.9281251835823059
label_bce,25,0.022419885111351807,0.9910481770833334,0.01705248475074768,0.991875,0.9229088211059571
label_bce,26,0.021238237619400024,0.9905598958333334,0.017088063210248947,0.991875,0.9237842845916748
label_bce,27,0.017855102972437937,0.9925130208333334,0.01801593080163002,0.99125,0.923195972442627
label_bce,28,0.01786493432397644,0.9920247395833334,0.014981351643800735,0.9925,0.9241193056106567
label_bce,29,0.021668915792057913,0.98974609375,0.027170935794711113,0.991875,0.9145460844039917
label_bce,30,0.02801273949444294,0.98828125,0.021172557026147842,0.990625,0.9158644533157348
label_bce,31,0.023212132044136524,0.990234375,0.015739080756902696,0.995625,0.9173314070701599
label_bce,32,0.025547390182813007,0.9886067708333334,0.016444035470485688,0.99375,0.9195699405670166
label_bce,33,0.022629020114739735,0.9910481770833334,0.019345934987068176,0.990625,0.9158366823196411
label_bce,34,0.02128972951322794,0.9910481770833334,0.014276769682765008,0.995625,0.9197976446151733
label_bce,35,0.017636524823804695,0.9918619791666666,0.014483759254217148,0.994375,0.921767373085022
label_bce,36,0.01937002098808686,0.9910481770833334,0.019896633625030517,0.989375,0.9249840641021728
label_bce,37,0.021283979527652264,0.9899088541666666,0.013495438620448113,0.993125,0.9220093154907226
label_bce,38,0.020052296109497547,0.9913736979166666,0.014988501481711864,0.99625,0.9205970907211304
label_bce,39,0.020952433347702026,0.99169921875,0.015848597511649132,0.994375,0.9244341802597046
label_bce,40,0.020198691325883072,0.9915364583333334,0.01725415412336588,0.9925,0.9166275548934937
label_bce,41,0.01909682961801688,0.9931640625,0.01595319353044033,0.9925,0.9160756063461304
label_bce,42,0.016902801270286243,0.9921875,0.01600078571587801,0.995625,0.9173751735687256
label_bce,43,0.01734847544382016,0.9925130208333334,0.018924814108759166,0.9925,0.9175490713119507
label_bce,44,0.023725571886946756,0.9892578125,0.022340031042695045,0.990625,0.9152498960494995
label_bce,45,0.026040525641292334,0.9892578125,0.014017505422234535,0.994375,0.9224938988685608
label_bce,46,0.018947403722753126,0.9913736979166666,0.014384108260273934,0.9925,0.9211876869201661
label_bce,47,0.01691657491028309,0.9930013020833334,0.014077801927924157,0.994375,0.9223082971572876
label_bce,48,0.01630349053690831,0.9933268229166666,0.013823411613702773,0.99375,0.9223790884017944
label_bce,49,0.01597799655670921,0.9928385416666666,0.01269193485379219,0.995,0.9236762309074402
label_bce,50,0.016088461348166067,0.9930013020833334,0.012622255608439445,0.995625,0.9205216979980468
label_bce,51,0.016616035408029955,0.9925130208333334,0.014611186347901822,0.994375,0.9223981881141663
label_bce,52,0.021599808086951573,0.9908854166666666,0.017224147990345953,0.993125,0.9262070608139038
label_bce,53,0.0150991544748346,0.9939778645833334,0.01224624514579773,0.995625,0.9198033475875854
label_bce,54,0.015406224255760511,0.9933268229166666,0.015489137768745422,0.9925,0.9204061698913574
label_bce,55,0.018091306866457064,0.9921875,0.01672328054904938,0.994375,0.9202289414405823
label_bce,56,0.02098790432016055,0.9903971354166666,0.018400607109069825,0.993125,0.9233731627464294
label_bce,57,0.02912493251884977,0.9869791666666666,0.020477215722203256,0.990625,0.9278498888015747
label_bce,58,0.02308384111771981,0.98974609375,0.017248410787433385,0.993125,0.9159384799003601
label_bce,59,0.02342904374624292,0.9900716145833334,0.028911575116217135,0.9875,0.9105952501296997
label_bce,60,0.026595727850993473,0.9890950520833334,0.022272528000175953,0.990625,0.9155653977394104
label_bce,61,0.021403446948776644,0.9905598958333334,0.016207579001784326,0.994375,0.9232697582244873
