epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_div (enc-only),val_divergence (enc-only),train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
1,0.07150899448121588,0.055236437547206876,0.054714609086513516,0.05218284606933594,0.12424689531326294,0.03184422492980957,0.05498238528768221,0.06190880139668783,0.05560147330164909,0.9319661458333334,0.9282805029219054,0.9738430583501007,0.9191080729166666,0.08089192708333333,0.054714609086513516,0.052178659439086915,0.05523639568090438,0.934375,0.9299796057104011,0.9844961240310077,0.919375,0.080625
2,0.024572404256711405,0.020969189590215685,0.01864688262343407,0.23223069667816162,0.028219223022460938,0.01507089614868164,0.017876231111586094,0.20499659578005472,0.019926197069386642,0.9205729166666666,1.0,0.004081632653061225,0.9202473958333334,0.07975260416666667,0.01864688262343407,0.23220694065093994,0.020968952029943467,0.92125,1.0,0.023255813953488372,0.919375,0.080625
3,0.014723288671423992,0.0066515036925673485,0.006011607013642788,0.06398966789245605,0.008038202921549479,0.0032581615447998045,0.005629845739652713,0.056841135025024414,0.006198257089902957,0.9267578125,1.0,0.0835030549898167,0.9200846354166666,0.07991536458333333,0.006011607013642788,0.06397871494293213,0.006651394163072109,0.929375,1.0,0.12403100775193798,0.919375,0.080625
4,0.005311333574354649,0.00640985129326582,0.005785570554435253,0.06242807388305664,0.0020692149798075357,0.00042120933532714845,0.005824240545431773,0.06967294216156006,0.006520969967047374,0.95849609375,0.9994689325544344,0.4909090909090909,0.91943359375,0.08056640625,0.005785570554435253,0.06242818355560303,0.006409852389991284,0.960625,1.0,0.5116279069767442,0.919375,0.080625
5,0.004400130283708374,0.0030801420766860244,0.002667811783030629,0.04123302936553955,0.00024811426798502606,-0.0009599065780639648,0.0024558333680033684,0.047860940297444664,0.0029344427709778152,0.9327799479166666,1.0,0.15885947046843177,0.9200846354166666,0.07991536458333333,0.002667811783030629,0.041242122650146484,0.003080233009532094,0.934375,1.0,0.18604651162790697,0.919375,0.080625
6,0.0028537327889353037,0.002124024729989469,0.0019772938778623936,0.014673085212707519,0.0002496639887491862,0.0004810333251953125,0.001806985664491852,0.01365804672241211,0.001943566131715973,0.9375,1.0,0.21951219512195122,0.919921875,0.080078125,0.0019772938778623936,0.014682960510253907,0.0021241234829649327,0.939375,1.0,0.24806201550387597,0.919375,0.080625
7,0.0016768952288354437,0.0014865935934707522,0.001322346176020801,0.016424741744995117,0.0006109277407328287,-0.0012431383132934571,0.0012834231990079086,0.018308401107788086,0.0014665072100857894,0.9532877604166666,0.9998230714791224,0.4186991869918699,0.919921875,0.080078125,0.001322346176020801,0.01642189025878906,0.0014865650786086916,0.95625,1.0,0.4573643410852713,0.919375,0.080625
8,0.0011458774873365958,0.0010566933217458427,0.0010112099233083427,0.00454833984375,0.0003276666005452474,-0.0013700008392333984,0.0009480588681374987,0.003964126110076904,0.0009877001292382679,0.9475911458333334,0.9998229148220295,0.35412474849094566,0.9191080729166666,0.08089192708333333,0.0010112099233083427,0.004548091888427735,0.00105669084219262,0.949375,1.0,0.37209302325581395,0.919375,0.080625
9,0.0008005562898082038,0.0006653240165673196,0.0006663891277275979,-0.00010651111602783203,1.819928487141927e-05,-0.0011859798431396484,0.0006400695807921389,0.0012520949045817058,0.000652590529837956,0.9576822916666666,0.9996458296440588,0.48088531187122735,0.9191080729166666,0.08089192708333333,0.0006663891277275979,-0.00010595321655273437,0.0006653295955620706,0.960625,1.0,0.5116279069767442,0.919375,0.080625
10,0.0006047251808922738,0.0005069402939174325,0.0005137336498592049,-0.0006793355941772461,0.0005109707514444987,-9.885787963867187e-05,0.000498547165382964,-0.00032124916712443036,0.0004953346737117196,0.9571940104166666,0.9998231027772864,0.4663951120162933,0.9200846354166666,0.07991536458333333,0.0005137336498592049,-0.0006800651550292969,0.000506932998308912,0.960625,1.0,0.5116279069767442,0.919375,0.080625
