delta,pval_base,pval,setting,gap
0.0,0.1,0.14,df1,-0.04000000000000001
0.04,0.18,0.08,df1,0.09999999999999999
0.08,0.08,0.08,df1,0.0
0.12,0.1,0.04,df1,0.060000000000000005
0.16,0.12,0.08,df1,0.039999999999999994
0.2,0.12,0.14,df1,-0.020000000000000018
0.24,0.18,0.24,df1,-0.06
0.28,0.16,0.16,df1,0.0
0.32,0.24,0.28,df1,-0.040000000000000036
0.36,0.3,0.28,df1,0.019999999999999962
0.4,0.26,0.42,df1,-0.15999999999999998
0.44,0.24,0.54,df1,-0.30000000000000004
0.48,0.34,0.62,df1,-0.27999999999999997
0.52,0.36,0.54,df1,-0.18000000000000005
0.56,0.18,0.76,df1,-0.5800000000000001
0.6,0.34,0.76,df1,-0.42
0.64,0.38,0.9,df1,-0.52
0.68,0.44,0.92,df1,-0.48000000000000004
0.72,0.48,0.98,df1,-0.5
0.76,0.48,0.92,df1,-0.44000000000000006
0.8,0.56,0.94,df1,-0.3799999999999999
0.0,0.1,0.14,df2,-0.04000000000000001
0.04,0.08,0.06,df2,0.020000000000000004
0.08,0.14,0.1,df2,0.04000000000000001
0.12,0.1,0.12,df2,-0.01999999999999999
0.16,0.06,0.06,df2,0.0
0.2,0.04,0.16,df2,-0.12
0.24,0.06,0.12,df2,-0.06
0.28,0.1,0.24,df2,-0.13999999999999999
0.32,0.2,0.24,df2,-0.03999999999999998
0.36,0.18,0.24,df2,-0.06
0.4,0.16,0.28,df2,-0.12000000000000002
0.44,0.12,0.3,df2,-0.18
0.48,0.2,0.54,df2,-0.34
0.52,0.2,0.48,df2,-0.27999999999999997
0.56,0.22,0.42,df2,-0.19999999999999998
0.6,0.18,0.46,df2,-0.28
0.64,0.22,0.46,df2,-0.24000000000000002
0.68,0.2,0.54,df2,-0.34
0.72,0.36,0.56,df2,-0.20000000000000007
0.76,0.2,0.6,df2,-0.39999999999999997
0.8,0.32,0.72,df2,-0.39999999999999997
0.0,0.08,0.08,df3,0.0
0.05,0.28,0.08,df3,0.2
0.1,0.34,0.12,df3,0.22000000000000003
0.15000000000000002,0.7,0.1,df3,0.6
0.2,0.84,0.2,df3,0.6399999999999999
0.25,0.98,0.5,df3,0.48
0.30000000000000004,1.0,0.6,df3,0.4
0.35000000000000003,1.0,0.82,df3,0.18000000000000005
0.4,1.0,0.94,df3,0.06000000000000005
0.45,1.0,1.0,df3,0.0
0.5,1.0,0.98,df3,0.020000000000000018
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
