delta,pval_base,pval,setting,gap
0.0,0.12,0.06,df1,0.06
0.02,0.06,0.02,df1,0.039999999999999994
0.04,0.08,0.08,df1,0.0
0.06,0.02,0.08,df1,-0.06
0.08,0.12,0.14,df1,-0.020000000000000018
0.1,0.16,0.2,df1,-0.04000000000000001
0.12,0.18,0.18,df1,0.0
0.14,0.32,0.28,df1,0.03999999999999998
0.16,0.42,0.48,df1,-0.06
0.18,0.6,0.62,df1,-0.020000000000000018
0.2,0.7,0.68,df1,0.019999999999999907
0.22,0.84,0.72,df1,0.12
0.24,0.78,0.8,df1,-0.020000000000000018
0.26,0.96,0.96,df1,0.0
0.28,1.0,0.98,df1,0.020000000000000018
0.3,1.0,1.0,df1,0.0
0.32,1.0,1.0,df1,0.0
0.34,1.0,1.0,df1,0.0
0.36,1.0,1.0,df1,0.0
0.38,1.0,1.0,df1,0.0
0.4,1.0,1.0,df1,0.0
0.0,0.12,0.06,df2,0.06
0.02,0.12,0.14,df2,-0.020000000000000018
0.04,0.24,0.16,df2,0.07999999999999999
0.06,0.16,0.04,df2,0.12
0.08,0.18,0.14,df2,0.03999999999999998
0.1,0.14,0.1,df2,0.04000000000000001
0.12,0.2,0.22,df2,-0.01999999999999999
0.14,0.14,0.14,df2,0.0
0.16,0.36,0.44,df2,-0.08000000000000002
0.18,0.34,0.36,df2,-0.019999999999999962
0.2,0.36,0.44,df2,-0.08000000000000002
0.22,0.52,0.54,df2,-0.020000000000000018
0.24,0.64,0.66,df2,-0.020000000000000018
0.26,0.62,0.64,df2,-0.020000000000000018
0.28,0.7,0.76,df2,-0.06000000000000005
0.3,0.82,0.88,df2,-0.06000000000000005
0.32,0.82,0.82,df2,0.0
0.34,0.9,0.94,df2,-0.039999999999999925
0.36,0.94,0.94,df2,0.0
0.38,0.94,0.94,df2,0.0
0.4,0.96,0.96,df2,0.0
0.0,0.06,0.06,df3,0.0
0.025,0.12,0.06,df3,0.06
0.05,0.16,0.12,df3,0.04000000000000001
0.07500000000000001,0.08,0.04,df3,0.04
0.1,0.12,0.1,df3,0.01999999999999999
0.125,0.04,0.06,df3,-0.019999999999999997
0.15000000000000002,0.08,0.08,df3,0.0
0.17500000000000002,0.14,0.16,df3,-0.01999999999999999
0.2,0.08,0.06,df3,0.020000000000000004
0.225,0.12,0.08,df3,0.039999999999999994
0.25,0.12,0.1,df3,0.01999999999999999
0.275,0.16,0.14,df3,0.01999999999999999
0.30000000000000004,0.16,0.14,df3,0.01999999999999999
0.325,0.08,0.1,df3,-0.020000000000000004
0.35000000000000003,0.08,0.06,df3,0.020000000000000004
0.375,0.16,0.1,df3,0.06
0.4,0.14,0.16,df3,-0.01999999999999999
0.42500000000000004,0.14,0.06,df3,0.08000000000000002
0.45,0.14,0.14,df3,0.0
0.47500000000000003,0.16,0.14,df3,0.01999999999999999
0.5,0.16,0.1,df3,0.06
