epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_div (enc-only),val_divergence (enc-only),train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
1,0.2520429470709392,0.11003011310338974,0.10898103255033494,0.10490805530548096,0.11306084905351911,0.039975094795227054,0.1091044225863048,0.10037173543657575,0.11010813994067056,0.8458426339285714,0.8328543336862805,1.0,0.9222935267857143,0.07770647321428571,0.10898103255033494,0.10496155834197998,0.11003064813375474,0.836,0.8212534059945504,1.0,0.9175,0.0825
2,0.04743957918669496,0.007586025323718786,0.005048410262912512,0.2537615060806274,0.02132751260484968,0.003301105499267578,0.0048866306564637595,0.2704999702317374,0.0075916303587811335,0.9284319196428571,1.0,0.09042553191489362,0.9213169642857143,0.07868303571428571,0.005048410262912512,0.25373685264587403,0.007585778789371252,0.9275,1.0,0.12121212121212122,0.9175,0.0825
3,0.015609889490795987,0.012170300340950489,0.011293788976967334,0.08765113639831543,0.005455783435276577,0.004378759384155274,0.011312165430613927,0.08802851608821324,0.01219245059149606,0.9808872767857143,0.9895470383275261,0.8800705467372134,0.9208984375,0.0791015625,0.011293788976967334,0.08760315132141114,0.012169820490181445,0.979,0.9852861035422343,0.9090909090909091,0.9175,0.0825
4,0.00933296639206154,0.004061130229756236,0.00330736574344337,0.07537644863128662,0.0055489880698067805,0.0036353826522827148,0.003333910135552287,0.0783480065209525,0.004117390200761812,0.9729352678571429,0.9983333333333333,0.6778169014084507,0.9207589285714286,0.07924107142857142,0.00330736574344337,0.07537742233276368,0.004061139966771007,0.9695,0.9967302452316076,0.6666666666666666,0.9175,0.0825
5,0.00428846904209682,0.0020299506692588332,0.0014181225709617138,0.061182809829711915,0.002052511487688337,0.0004635944366455078,0.0014052318043208548,0.06277753625597272,0.002033007166880582,0.9644252232142857,0.9990928333837314,0.5505415162454874,0.9227120535714286,0.07728794642857142,0.0014181225709617138,0.06117888832092285,0.0020299114541709423,0.9655,0.9989100817438692,0.593939393939394,0.9175,0.0825
6,0.0024348889544074026,0.0019969705666601657,0.0016637734211981297,0.03331971454620361,0.0014070953641619002,-0.00029392147064208986,0.0016592740014727627,0.032147697040012906,0.001980750971872892,0.9794921875,0.9980308997273554,0.7632508833922261,0.9210379464285714,0.07896205357142858,0.0016637734211981297,0.0333360710144043,0.0019971341313421726,0.976,0.9961852861035423,0.7515151515151515,0.9175,0.0825
7,0.0013172271844398762,0.00073921945637092,0.000647369337733835,0.009185011863708497,0.0005464553833007812,-0.0002801513671875,0.0006485359044745564,0.009237357548304967,0.0007409094799576061,0.9641462053571429,0.9986365702166339,0.562610229276896,0.9208984375,0.0791015625,0.000647369337733835,0.009176173210144044,0.0007391310698352754,0.9635,0.9983651226158038,0.5757575757575758,0.9175,0.0825
8,0.0008188848067740244,0.0005122801444306969,0.0004941042372956872,0.0018175907135009766,-0.00022232532501220703,-0.0007837409973144531,0.0005111462877331567,0.0014212642397199357,0.0005253589301303561,0.9730747767857143,0.9981826442526125,0.679646017699115,0.9211774553571429,0.07882254464285714,0.0004941042372956872,0.0018068399429321288,0.0005121726367250085,0.971,0.997275204359673,0.6787878787878788,0.9175,0.0825
9,0.0005351960634080959,0.0003509690873138607,0.0003553736130706966,-0.00044045257568359376,0.0006080184664045062,-0.00038689708709716794,0.00035965296306780407,-0.0002206563949584961,0.0003574463991182191,0.96875,0.9989413188142771,0.6097122302158273,0.9224330357142857,0.07756696428571429,0.0003553736130706966,-0.0004361782073974609,0.000351011830996722,0.967,0.9983651226158038,0.6181818181818182,0.9175,0.0825
10,0.00038151193127435235,0.0002814937524683774,0.0002847295408137143,-0.00032357883453369143,0.0008851630347115653,0.0001956014633178711,0.00029438907014472146,-0.00021273749215262278,0.00029226169522319524,0.96875,0.9986378083850461,0.6167557932263814,0.9217354910714286,0.07826450892857142,0.0002847295408137143,-0.00032271575927734375,0.00028150238322094086,0.968,0.9983651226158038,0.6303030303030303,0.9175,0.0825
