model_name,epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
proposed,1,0.38217365741729736,0.0664692587852478,0.06600508260726928,0.046417617797851564,0.06166865552465121,0.04618187745412191,0.062130474299192426,0.9189453125,1.0,0.0,0.9189453125,0.0810546875,0.06600508260726928,0.04635574913024902,0.06646864009857177,0.9,1.0,0.0,0.9,0.1
proposed,2,0.1268236649533113,0.09034338699340821,0.08869531297683717,0.1648074016571045,0.0886811837553978,0.16280659039815268,0.09030924965937932,0.8837890625,0.8729989327641409,1.0,0.9150390625,0.0849609375,0.08869531297683717,0.16470800495147706,0.09034239302635194,0.894,0.8822222222222222,1.0,0.9,0.1
proposed,3,0.08782213429609935,0.03365874277830124,0.0329686753153801,0.06900674629211426,0.03280716265241305,0.07441294193267822,0.03355129207173983,0.9798177083333334,0.9985790408525755,0.77431906614786,0.9163411458333334,0.08365885416666667,0.0329686753153801,0.0690182876586914,0.03365885819196701,0.977,0.9977777777777778,0.79,0.9,0.1
proposed,4,0.023982796197136242,0.014960400427877904,0.014244593419134617,0.0715807008743286,0.013590472439924875,0.0659099817276001,0.014249572257200877,0.931640625,1.0,0.18604651162790697,0.916015625,0.083984375,0.014244593419134617,0.07164218044281005,0.014961015223562718,0.916,1.0,0.16,0.9,0.1
proposed,5,0.03848213702440262,0.005907900534123182,0.005081208448857069,0.08266920852661133,0.004618264579524596,0.08052019278208415,0.005423466507345437,0.9306640625,1.0,0.1776061776061776,0.9156901041666666,0.08430989583333333,0.005081208448857069,0.08257892799377442,0.005906997728794813,0.911,1.0,0.11,0.9,0.1
proposed,6,0.01831255480647087,0.0060538124188780785,0.005259711228311062,0.07941011905670166,0.005070706518987815,0.07833333810170491,0.005854039900004864,0.962890625,0.9996442547136251,0.5670498084291188,0.9150390625,0.0849609375,0.005259711228311062,0.0794249267578125,0.006053960495889187,0.959,1.0,0.59,0.9,0.1
proposed,7,0.00834692440306147,0.013300720041394234,0.012566433981060983,0.0734286060333252,0.012706719028453032,0.06553995609283447,0.013362118589381376,0.9788411458333334,0.9783687943262411,0.9841269841269841,0.91796875,0.08203125,0.012566433981060983,0.07341029834747315,0.013300536964535713,0.985,0.9833333333333333,1.0,0.9,0.1
proposed,8,0.013405301918586096,0.012104815437495708,0.011499578945338726,0.06052364921569824,0.011261942175527414,0.05584200223286947,0.01182036219785611,0.9720052083333334,0.9704941343761109,0.9884169884169884,0.9156901041666666,0.08430989583333333,0.011499578945338726,0.06056308364868164,0.012105209781825542,0.974,0.9722222222222222,0.99,0.9,0.1
proposed,9,0.010547786951065063,0.0045374617843329905,0.004163850467652082,0.03736113166809082,0.004128611957033475,0.03192476431528727,0.004447859600186348,0.9889322916666666,0.9960951366702165,0.9098039215686274,0.9169921875,0.0830078125,0.004163850467652082,0.03750711631774902,0.004538921630829572,0.988,0.9966666666666667,0.91,0.9,0.1
proposed,10,0.003866616558904449,0.00214453613050282,0.0019888472724705936,0.015568885803222656,0.0019791501496608057,0.01653631528218587,0.0021445133024826646,0.9651692708333334,1.0,0.570281124497992,0.9189453125,0.0810546875,0.0019888472724705936,0.015595218658447266,0.0021447994590550663,0.957,1.0,0.57,0.9,0.1
proposed,11,0.0037533230303476253,0.0015785917565599083,0.0014568082997575402,0.012178345680236817,0.0014598345151171088,0.015154361724853516,0.001611378132365644,0.9514973958333334,1.0,0.42911877394636017,0.9150390625,0.0849609375,0.0014568082997575402,0.012367106437683106,0.0015804793641343712,0.94,1.0,0.4,0.9,0.1
proposed,12,0.004281234772255023,0.0010206811136566102,0.0009631895250640809,0.00574915885925293,0.0009559270498963693,0.0034720500310262046,0.0009906475502066314,0.9593098958333334,1.0,0.5387453874538746,0.9117838541666666,0.08821614583333333,0.0009631895250640809,0.00561669921875,0.0010193565172515809,0.952,1.0,0.52,0.9,0.1
proposed,13,0.0019451108140250046,0.0013692073446512224,0.001322172537446022,0.00470348072052002,0.0012712454190477729,0.00524596373240153,0.0013237050563717882,0.978515625,0.9996445076430857,0.749034749034749,0.9156901041666666,0.08430989583333333,0.001322172537446022,0.004614646911621094,0.001368319006562233,0.976,1.0,0.76,0.9,0.1
proposed,14,0.0019713505559290447,0.0021495734713226555,0.0020521262381225825,0.009744723320007325,0.0019873324393605194,0.010909557342529297,0.0020964280127858123,0.9840494791666666,0.9992887624466572,0.8192307692307692,0.9153645833333334,0.08463541666666667,0.0020521262381225825,0.009709691047668457,0.002149223148599267,0.986,1.0,0.86,0.9,0.1
