model_name,epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
proposed,1,0.2829449661076069,0.02967058256864548,0.02931486815214157,0.035571441650390626,0.02899255386243264,0.043580849965413414,0.029428362362086773,0.9671223958333334,0.9756312908352464,0.8669438669438669,0.9217122395833334,0.07828776041666667,0.02931486815214157,0.03557552814483642,0.029670623433589935,0.97,0.9783344617467841,0.8699186991869918,0.923125,0.076875
proposed,2,0.04825919959694147,0.006385668645054102,0.004446487221866846,0.1939181423187256,0.004420185345225036,0.1806496779123942,0.006226682124348978,0.9337565104166666,1.0,0.15208333333333332,0.921875,0.078125,0.004446487221866846,0.1939322805404663,0.006385810027271508,0.93875,1.0,0.2032520325203252,0.923125,0.076875
proposed,3,0.02291021045918266,0.005129032764583826,0.004336754474788904,0.07922782897949218,0.004297844987983505,0.06778323650360107,0.004975677353019516,0.9622395833333334,1.0,0.5146443514644351,0.9222005208333334,0.07779947916666667,0.004336754474788904,0.0792357349395752,0.005129111824184657,0.96875,1.0,0.5934959349593496,0.923125,0.076875
proposed,4,0.009007819928228855,0.010006990212202072,0.009561537951231002,0.044545226097106934,0.00977785155797998,0.05314705769220988,0.01030932213490208,0.9765625,0.975609756097561,0.9876543209876543,0.9208984375,0.0791015625,0.009561537951231002,0.044539389610290525,0.010006931847333908,0.98,0.97968855788761,0.983739837398374,0.923125,0.076875
proposed,5,0.005257326023032268,0.001533482528105378,0.0013361976388841868,0.01972848892211914,0.0013135563543376823,0.025570849577585857,0.0015692648501135409,0.9599609375,1.0,0.48427672955974843,0.92236328125,0.07763671875,0.0013361976388841868,0.01972587585449219,0.0015334563974291086,0.964375,1.0,0.5365853658536586,0.923125,0.076875
proposed,6,0.003194785735104233,0.0008748009810224176,0.0006696701655164361,0.020513081550598146,0.0006489504206304749,0.017138421535491943,0.0008203346359853944,0.97509765625,1.0,0.6851851851851852,0.9208984375,0.0791015625,0.0006696701655164361,0.020505619049072266,0.0008747263560071588,0.976875,1.0,0.6991869918699187,0.923125,0.076875
proposed,7,0.0013765601518874366,0.0010403620045632124,0.0010283887665718794,0.0011973237991333007,0.001035134958025689,0.003163119157155355,0.0010667661495972426,0.9845377604166666,0.9992929114371575,0.813141683778234,0.9207356770833334,0.07926432291666667,0.0010283887665718794,0.0011968803405761719,0.001040357569977641,0.986875,1.0,0.8292682926829268,0.923125,0.076875
proposed,8,0.0007173975803501283,0.00046078339768573643,0.0004589114780537784,0.00018719196319580078,0.0004496726517875989,0.0005592107772827148,0.00045526475956042604,0.9674479166666666,1.0,0.591002044989775,0.92041015625,0.07958984375,0.0004589114780537784,0.0001972198486328125,0.00046088367654010653,0.970625,1.0,0.6178861788617886,0.923125,0.076875
proposed,9,0.0005560455902013928,0.00031763886073604225,0.0003152043209411204,0.0002434539794921875,0.0003073218055457498,0.0008214314778645834,0.0003155361203243956,0.9752604166666666,0.9998231027772864,0.6924643584521385,0.9200846354166666,0.07991536458333333,0.0003152043209411204,0.00024031639099121095,0.0003176074848510325,0.978125,1.0,0.7154471544715447,0.923125,0.076875
proposed,10,0.0003804044002511849,0.0002628777514211833,0.0002710519800893962,-0.0008174228668212891,0.00026556534188178677,-0.0001375277837117513,0.00026419006404466923,0.97607421875,0.9998234463276836,0.6958333333333333,0.921875,0.078125,0.0002710519800893962,-0.0008099699020385743,0.00026295228106901046,0.979375,1.0,0.7317073170731707,0.923125,0.076875
proposed,11,0.0002600324369268492,0.00019480266463942823,0.0002021981228608638,-0.0007395458221435547,0.00019765069494800022,-0.00028457244237263996,0.00019480497052427382,0.9708658854166666,1.0,0.6309278350515464,0.9210611979166666,0.07893880208333333,0.0002021981228608638,-0.0007375669479370117,0.00019482245338149368,0.97,1.0,0.6097560975609756,0.923125,0.076875
proposed,12,0.00020225470264752707,0.00018373985404614358,0.0001825278770411387,0.00012119770050048828,0.00017583004955668002,-4.820028940836588e-05,0.00017534804666259637,0.974609375,1.0,0.6790123456790124,0.9208984375,0.0791015625,0.0001825278770411387,0.00012062549591064453,0.00018373413200024514,0.97875,1.0,0.7235772357723578,0.923125,0.076875
proposed,13,0.00017461347548911968,0.00013198282332159577,0.0001387467107269913,-0.0006763887405395508,0.00013148719760162445,0.0004475911458333333,0.00013596310905995777,0.9728190104166666,1.0,0.6570841889117043,0.9207356770833334,0.07926432291666667,0.0001387467107269913,-0.0006769895553588867,0.00013197681517340242,0.975625,1.0,0.6829268292682927,0.923125,0.076875
proposed,14,0.00014706732569417605,0.00012315411064773798,0.00012584290001541376,-0.0002688789367675781,0.00012208543436524147,-0.0002110004425048828,0.00011997542994019264,0.97216796875,1.0,0.648870636550308,0.9207356770833334,0.07926432291666667,0.00012584290001541376,-0.00026648998260498047,0.00012317800018936395,0.97375,1.0,0.6585365853658537,0.923125,0.076875
proposed,15,0.00012975005301996134,0.00011391476674471051,0.000122789946035482,-0.0008875179290771484,0.00011447486879963738,-0.0002524256706237793,0.00011195061209339959,0.97314453125,1.0,0.6625766871165644,0.92041015625,0.07958984375,0.000122789946035482,-0.0008880758285522461,0.00011390918774995952,0.975625,1.0,0.6829268292682927,0.923125,0.076875
proposed,16,0.00011536643554184896,9.57705766079016e-05,0.00010339119733544067,-0.0007620620727539063,9.939125811797567e-05,-0.00044540564219156903,9.493720169605998e-05,0.9713541666666666,1.0,0.6356107660455487,0.92138671875,0.07861328125,0.00010339119733544067,-0.0007543611526489258,9.584758580895142e-05,0.9725,1.0,0.6422764227642277,0.923125,0.076875
proposed,17,0.00010496708515953894,8.989279670640827e-05,9.95110790245235e-05,-0.0009618282318115234,9.416808219005664e-05,-0.0005158185958862305,8.900989623119433e-05,0.9720052083333334,1.0,0.6446280991735537,0.9212239583333334,0.07877604166666667,9.95110790245235e-05,-0.0009615945816040039,8.989513320848346e-05,0.974375,1.0,0.6666666666666666,0.923125,0.076875
proposed,18,9.565566385087247e-05,8.302114731632173e-05,9.023750550113619e-05,-0.0007216358184814454,8.584375124579917e-05,-0.0004647572835286458,8.119617841051271e-05,0.9716796875,1.0,0.6427104722792608,0.9207356770833334,0.07926432291666667,9.023750550113619e-05,-0.0007319116592407227,8.291838890872896e-05,0.9725,1.0,0.6422764227642277,0.923125,0.076875
proposed,19,9.261023418124144e-05,7.863784851506352e-05,8.654204430058599e-05,-0.0007904195785522461,8.263379155929822e-05,-0.00014513731002807617,8.118241845901746e-05,0.97119140625,1.0,0.640973630831643,0.9197591145833334,0.08024088541666667,8.654204430058599e-05,-0.0007949924468994141,7.859211983159184e-05,0.9725,1.0,0.6422764227642277,0.923125,0.076875
proposed,20,8.741944717864196e-05,7.361764948582276e-05,7.970523874973878e-05,-0.0006087589263916016,7.541818316288602e-05,-0.00041492780049641925,7.126890515792184e-05,0.9716796875,1.0,0.634453781512605,0.9225260416666666,0.07747395833333333,7.970523874973878e-05,-0.0006089448928833008,7.361578982090577e-05,0.9725,1.0,0.6422764227642277,0.923125,0.076875
proposed,21,8.610952136223204e-05,7.610730933956802e-05,8.476538467220962e-05,-0.0008658075332641602,8.036070357775316e-05,-0.0004099607467651367,7.626109611010179e-05,0.9713541666666666,1.0,0.6386036960985626,0.9207356770833334,0.07926432291666667,8.476538467220962e-05,-0.0008649492263793946,7.611589240841568e-05,0.971875,1.0,0.6341463414634146,0.923125,0.076875
proposed,22,8.190863930697863e-05,6.624708924209698e-05,7.225833687698468e-05,-0.0006011247634887696,6.797693034362358e-05,-0.0002266565958658854,6.571036438496473e-05,0.9708658854166666,1.0,0.6331967213114754,0.9205729166666666,0.07942708333333333,7.225833687698468e-05,-0.0006009101867675781,6.62492350093089e-05,0.9725,1.0,0.6422764227642277,0.923125,0.076875
proposed,23,7.253847191653524e-05,5.8324414468370383e-05,6.802690622862429e-05,-0.0009702491760253906,6.472295838951443e-05,-0.00017420450846354166,6.298091330487901e-05,0.9716796875,1.0,0.6352201257861635,0.92236328125,0.07763671875,6.802690622862429e-05,-0.0009689712524414062,5.833719370421023e-05,0.97125,1.0,0.6260162601626016,0.923125,0.076875
