setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,cvm_p_prop_mean,cvm_p_prop_std,cvm_p_base_mean,cvm_p_base_std,cvm_p_recon_mean,cvm_p_recon_std,cvm_p_uniform_mean,cvm_p_uniform_std,ad_p_prop_mean,ad_p_prop_std,ad_p_base_mean,ad_p_base_std,ad_p_recon_mean,ad_p_recon_std,ad_p_uniform_mean,ad_p_uniform_std,ks_u_stat_prop_mean,ks_u_stat_prop_std,ks_u_stat_base_mean,ks_u_stat_base_std,ks_u_stat_recon_mean,ks_u_stat_recon_std,ks_u_stat_uniform_mean,ks_u_stat_uniform_std,ks_u_p_prop_mean,ks_u_p_prop_std,ks_u_p_base_mean,ks_u_p_base_std,ks_u_p_recon_mean,ks_u_p_recon_std,ks_u_p_uniform_mean,ks_u_p_uniform_std,mmd_u_prop_mean,mmd_u_prop_std,mmd_u_base_mean,mmd_u_base_std,mmd_u_recon_mean,mmd_u_recon_std,mmd_u_uniform_mean,mmd_u_uniform_std,wass_u_prop_mean,wass_u_prop_std,wass_u_base_mean,wass_u_base_std,wass_u_recon_mean,wass_u_recon_std,wass_u_uniform_mean,wass_u_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df1,0.0,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5961377302402198,0.2945370762236729,0.5366913048303997,0.3168653344180926,0.6359592472888319,0.3177150092874177,1.0,0.0,0.5961377302402198,0.2945370762236729,0.5366913048303997,0.3168653344180926,0.6359592472888319,0.3177150092874177,1.0,0.0,0.5669618079040714,0.299751109016956,0.5312544839869213,0.3125165224043401,0.5784931124537366,0.34651167230986224,1.0,0.0,0.002288485911634196,0.0005039064823221027,0.002195660334918067,0.0006281281640459393,0.002091689090439406,0.0007004508540507374,1.0,0.0,0.01734706653833389,0.0038109632916954956,0.8769104325499535,9.42902316981028e-05,0.5031210124848373,0.0071282117368481075,0.0,0.0,0.16597122801569036,0.18438309108655598,0.0,0.0,0.0,0.0,0.42755416393280027,0.005000848356612849,2.4580955505371092e-05,8.889113727281315e-05,0.32309277772903444,0.004750414239443308,0.12928586959838867,0.002201859188245286,0.4991081372550723,0.0034484382724780612,0.00739824375158505,0.0027050359926594383,0.41099127654114764,0.0033746776024151885,0.24781290482319968,0.0021143082072930374,0.9260200738906861,0.0032585664318712207,0.926152458190918,0.003269516706310017
df1,0.05,True,0.0,0.05,1.0,0.0,1.0,1.0,0.0,0.45569477862710217,0.3259872334104191,0.599965786411449,0.28313702651779726,0.5596115795890851,0.3443854096630357,1.0,0.0,0.45569477862710217,0.3259872334104191,0.599965786411449,0.28313702651779726,0.5596115795890851,0.3443854096630357,1.0,0.0,0.46231850570726907,0.3333536649941399,0.6070273570426814,0.28735944304808053,0.5239923406154253,0.3769057386401232,1.0,0.0,0.002017326296308822,0.0007680229944257581,0.002315967367046396,0.0005119814090013592,0.0018286339649210787,0.0009876033569224366,1.0,0.0,0.018336994451045988,0.004576803484357749,0.8769037322292328,7.848106186932429e-05,0.506409393495597,0.0068772929835480235,0.0,0.0,0.14798395068395181,0.18777441180245466,0.0,0.0,0.0,0.0,0.42827765226364134,0.006236112912417766,8.52060317993164e-05,0.00010227334879728507,0.32403034925460816,0.006111800119846201,0.1285955786705017,0.0019490287820769121,0.5003970357613593,0.0044260353058621655,0.008925925751906089,0.0025957016715710507,0.41220987818076904,0.004333148476797384,0.24719789487019794,0.001972522870753086,0.9253361761569977,0.0031663716484018594,0.9254064071178436,0.003483447855070212
df1,0.1,True,0.0,0.1,1.0,0.0,1.0,1.0,0.0,0.3532113563647474,0.25631229055255,0.348454027437121,0.30216635243237866,0.6466114496923326,0.34094877621261527,1.0,0.0,0.3532113563647474,0.25631229055255,0.348454027437121,0.30216635243237866,0.6466114496923326,0.34094877621261527,1.0,0.0,0.345008365775867,0.23439874426994087,0.3505717507233441,0.29943583873070584,0.5973019778051408,0.35018395353255966,1.0,0.0,0.0019047831481081965,0.0007615976260402402,0.0016593159998760031,0.0010297571859483419,0.0020651673965503938,0.0007834424711496075,1.0,0.0,0.021882613927841188,0.005635523882100631,0.8768992133979797,8.510322254448886e-05,0.5071850219264068,0.00739762014219128,0.0,0.0,0.07900374021295038,0.13776063353385395,0.0,0.0,0.0,0.0,0.42934881210327147,0.005321582814117109,0.00010552167892456054,0.00014526316294249784,0.32442943096160887,0.004968758899933565,0.1299367904663086,0.0024792566169524895,0.5003012682252782,0.003605020779504883,0.009142349603857932,0.003219686573151896,0.4117951147685913,0.003506703529024498,0.24853215223907132,0.002506112200314072,0.9261383879184723,0.003659274422278801,0.9265304589271546,0.003541795194594897
df1,0.15000000000000002,True,0.0,0.15000000000000002,1.0,0.0,1.0,1.0,0.0,0.41851900417089233,0.2689328263193815,0.3984520962197612,0.29412618654184397,0.5427094424573451,0.3263248106363851,1.0,0.0,0.41851900417089233,0.2689328263193815,0.3984520962197612,0.29412618654184397,0.5427094424573451,0.3263248106363851,1.0,0.0,0.4193961012724376,0.26441153635547643,0.38298122401656515,0.2758406492742532,0.4891140468136498,0.349388450099283,1.0,0.0,0.002041664432339094,0.0006980466485846643,0.001830560016492926,0.0009317945160149104,0.0018837923079965937,0.0009361748749235783,1.0,0.0,0.022403264829158775,0.0046764796166215,0.8768752876465321,8.053719081697271e-05,0.5123849894843996,0.006676590040772969,0.0,0.0,0.04785063439803644,0.09736563531854603,0.0,0.0,0.0,0.0,0.4275396943092346,0.006247622599813178,0.0001246023178100586,0.00012823582907590413,0.3226856827735901,0.006061715307374588,0.12979747533798217,0.0023888664368585627,0.49927030558137103,0.004342905378561767,0.009572500597762282,0.0029030107653138524,0.4107854086606105,0.004220493544661176,0.24824921298089309,0.0024106513092935667,0.926045024394989,0.002698442589461459,0.9258147966861725,0.0032286128887954973
df1,0.2,True,0.0,0.2,1.0,0.0,1.0,1.0,0.0,0.3452000810713217,0.24591458687179069,0.3356082255277388,0.22795165610767906,0.40023486239555256,0.32819662423605794,1.0,0.0,0.3452000810713217,0.24591458687179069,0.3356082255277388,0.22795165610767906,0.40023486239555256,0.32819662423605794,1.0,0.0,0.3267930999185063,0.2391462224968701,0.3341692848656306,0.2519772278125569,0.3430089405456588,0.3224014530402164,1.0,0.0,0.0018197670188331658,0.0008751148113337268,0.001788349605482202,0.0009227509711959831,0.0015336226497633925,0.0011090074501354833,1.0,0.0,0.02444251462984086,0.004515155193628174,0.8768947003509999,8.667732681260982e-05,0.5142889587619639,0.007546589082762611,0.0,0.0,0.0184148007142081,0.026948589901358063,0.0,0.0,0.0,0.0,0.4289244055747986,0.0061378276591258244,0.00020612239837646484,0.00015550348407414888,0.3240856122970581,0.0059950585950771206,0.12944799661636353,0.0021140005793491927,0.5007120066495435,0.004439911752235504,0.01115708239078436,0.0030315879611964715,0.41211003415870207,0.004349819453007796,0.2479118863496443,0.0020809427558286706,0.925724983215332,0.0032281243236887596,0.9253328084945679,0.003063386577390664
df1,0.25,True,0.0,0.25,1.0,0.0,1.0,1.0,0.0,0.2650773450094572,0.23582670865435618,0.2959299412253586,0.27113345568330965,0.361442872488388,0.35323071521585414,1.0,0.0,0.2650773450094572,0.23582670865435618,0.2959299412253586,0.27113345568330965,0.361442872488388,0.35323071521585414,1.0,0.0,0.24470852835082216,0.2028397946397773,0.28152171829389216,0.274660089144687,0.319202348774045,0.36580264436206555,1.0,0.0,0.0015073327149214043,0.00088612845269742,0.001445122945334827,0.0010137161525855792,0.0012475889080797446,0.0010691856990482315,1.0,0.0,0.02587673911046982,0.004372617419937303,0.876929712539196,8.338640230055598e-05,0.5175855768032149,0.005903457891046255,0.0,0.0,0.010720335316530591,0.018195897639350728,0.0,0.0,0.0,0.0,0.4282984209060669,0.006097581011342772,0.00023471355438232423,0.000168832139193062,0.3232085967063904,0.005812235585489663,0.1301354956626892,0.0023227252705146475,0.49983224541536253,0.004152150061445914,0.011747797283518126,0.002979452731730927,0.4111488141058209,0.004044737138177656,0.2485082254511466,0.002284229051194986,0.9259076571464538,0.003302516724306001,0.9252678370475769,0.003564027841387493
df1,0.30000000000000004,True,0.0,0.30000000000000004,1.0,0.0,1.0,1.0,0.0,0.25740364769122587,0.23401012062008072,0.3487466398889395,0.2798507100079714,0.19400839545248247,0.23879607622918927,1.0,0.0,0.25740364769122587,0.23401012062008072,0.3487466398889395,0.2798507100079714,0.19400839545248247,0.23879607622918927,1.0,0.0,0.24467398769553136,0.21223151186458328,0.31469223073048447,0.2610276960328483,0.14304794028795284,0.23589108122176422,1.0,0.0,0.0015298128093840712,0.0008493510951490147,0.0016150712288829066,0.0009349114115472856,0.0007030865192011109,0.0009266882082882089,1.0,0.0,0.02628597536373139,0.004271728475890297,0.8768903895263672,6.282497334975607e-05,0.523936818046961,0.00643448321294827,0.0,0.0,0.007925567528367755,0.012471961857354366,0.0,0.0,0.0,0.0,0.42564619779586793,0.00530804983628952,0.00025367021560668946,0.00015401294770916356,0.32088829278945924,0.005237055857159011,0.1300123429298401,0.0020406799258091304,0.49829328400520906,0.0038677640279771016,0.012061292675982502,0.002672483649375801,0.4097287060956664,0.003800109816685559,0.24834917426139022,0.002022036825302036,0.9262729370594025,0.003839919831500888,0.9248946464061737,0.003685552973186192
df1,0.35000000000000003,True,0.0,0.35000000000000003,1.0,0.0,1.0,1.0,0.0,0.14905181471831935,0.13429245483052135,0.1633691745700479,0.19586959671183143,0.13013904204483887,0.23895564611226072,1.0,0.0,0.14905181471831935,0.13429245483052135,0.1633691745700479,0.19586959671183143,0.13013904204483887,0.23895564611226072,1.0,0.0,0.1447855566540583,0.14331114854248111,0.1463815310688598,0.1781752017304319,0.10607475291924282,0.23418194334235082,1.0,0.0,0.0009147987514297606,0.0008446067118353304,0.000917608810001298,0.0009770059896076525,0.00047045903975700254,0.0008007923279714905,1.0,0.0,0.02910650834560394,0.004722575637040238,0.8769208851726056,8.764393286331568e-05,0.5244037739713527,0.006408225766738906,0.0,0.0,0.005598819742315875,0.019628807093812886,0.0,0.0,0.0,0.0,0.43028640031814575,0.005517945589276548,0.0003482222557067871,0.00021929352928994257,0.3249646091461182,0.0054941081033591955,0.13122679471969603,0.00202479410850869,0.501042407697854,0.004245404621149062,0.013280585213596905,0.0033467328083493114,0.41225494841844096,0.004229467738061387,0.24942559621529786,0.0018743833581348292,0.9247863113880157,0.0032979115812831225,0.9263982224464417,0.003665183828390025
df1,0.4,True,0.0,0.4,1.0,0.0,1.0,1.0,0.0,0.1690399358085398,0.19405025221891692,0.3024319655451627,0.2572853467299848,0.15342813863114554,0.23283168644697785,1.0,0.0,0.1690399358085398,0.19405025221891692,0.3024319655451627,0.2572853467299848,0.15342813863114554,0.23283168644697785,1.0,0.0,0.15382375527235465,0.17257371763660315,0.2861358442942143,0.2448891486674271,0.09703817828704718,0.18352689499646288,1.0,0.0,0.0009803977011437716,0.0009012489861860127,0.0014134857198119621,0.0009311211727867886,0.0005138052746279878,0.0008437954029842379,1.0,0.0,0.029736555274963373,0.005296884022246297,0.8768876312401295,6.950743749712193e-05,0.5262008676910661,0.00699895217510353,0.0,0.0,0.004885296303631466,0.017303482642304517,0.0,0.0,0.0,0.0,0.4283009195327759,0.0053383309113935835,0.00035303592681884766,0.0002028680728545716,0.3234214663505554,0.005362994110594614,0.13084059953689575,0.0021347306682612563,0.4998855648494346,0.004146447372109015,0.013502291240239368,0.003247943049920834,0.4113426837395969,0.004080568935130158,0.24912208772662914,0.002023376760040556,0.9255585598945618,0.003839655747030222,0.9253264713287354,0.0035116148449804902
df1,0.45,True,0.0,0.45,1.0,0.0,1.0,1.0,0.0,0.1336458703023742,0.12944599493337056,0.281192691021589,0.2531868443783648,0.05655969405643109,0.13345687021102162,1.0,0.0,0.1336458703023742,0.12944599493337056,0.281192691021589,0.2531868443783648,0.05655969405643109,0.13345687021102162,1.0,0.0,0.1251369413452237,0.10906327489145393,0.2725005356016471,0.2426556587879136,0.03353919212380348,0.09211443303250681,1.0,0.0,0.0009080951489051206,0.0008459601910246025,0.0013537176774138131,0.0009141909647632328,0.00021238465284337344,0.0005743475099640314,1.0,0.0,0.030158290160179135,0.0040207506898435556,0.876912347769022,8.938512263444494e-05,0.5306633593835086,0.007285978351931478,0.0,0.0,0.0012555381364313853,0.0028915641596819193,0.0,0.0,0.0,0.0,0.428787944316864,0.0051491852238911935,0.00038984060287475584,0.00017732505329331956,0.32407919645309446,0.005100688085255008,0.1312707805633545,0.002460303224155853,0.5004486880021357,0.003555493801827153,0.014241706949313997,0.0028145140903430873,0.41201405895597853,0.0035596107791583,0.24955989886559735,0.0024408823521229156,0.9268205416202545,0.0029350151985133408,0.9252308082580566,0.003467657188383049
