delta,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std,setting
0.0,0.9260200738906861,0.0032585664318712207,0.926152458190918,0.003269516706310017,df1
0.05,0.9253361761569977,0.0031663716484018594,0.9254064071178436,0.003483447855070212,df1
0.1,0.9261383879184723,0.003659274422278801,0.9265304589271546,0.003541795194594897,df1
0.15000000000000002,0.926045024394989,0.002698442589461459,0.9258147966861725,0.0032286128887954973,df1
0.2,0.925724983215332,0.0032281243236887596,0.9253328084945679,0.003063386577390664,df1
0.25,0.9259076571464538,0.003302516724306001,0.9252678370475769,0.003564027841387493,df1
0.30000000000000004,0.9262729370594025,0.003839919831500888,0.9248946464061737,0.003685552973186192,df1
0.35000000000000003,0.9247863113880157,0.0032979115812831225,0.9263982224464417,0.003665183828390025,df1
0.4,0.9255585598945618,0.003839655747030222,0.9253264713287354,0.0035116148449804902,df1
0.45,0.9268205416202545,0.0029350151985133408,0.9252308082580566,0.003467657188383049,df1
0.5,0.9257116889953614,0.0032816738264049,0.9252813196182251,0.0033524758211611848,df1
0.55,0.9258612823486329,0.00333529532708541,0.9252821147441864,0.003108973617485796,df1
0.6000000000000001,0.9260272014141083,0.003729009659400753,0.9244395339488983,0.0038321950813687924,df1
0.65,0.9255038690567017,0.003569989088499233,0.9247259676456452,0.0037921430906045885,df1
0.7000000000000001,0.9262676286697388,0.0031142679721752253,0.9252007579803467,0.0029367435065888563,df1
0.75,0.9253336155414581,0.003271081778626887,0.9247994220256806,0.003993924083359076,df1
0.8,0.9264943206310272,0.003743897326368685,0.9240076303482055,0.0033064628152317662,df1
0.8500000000000001,0.9257970416545868,0.0036724496431177365,0.9245238208770752,0.004061811728236842,df1
0.9,0.9253297853469848,0.003610562689517683,0.9255856359004975,0.002991698414256527,df1
0.9500000000000001,0.926253411769867,0.003444230744762348,0.9254348862171173,0.002967603505845314,df1
1.0,0.9258177602291107,0.0035352130305391282,0.925040773153305,0.002800723500394674,df1
0.0,0.9260200738906861,0.0032585664318712207,0.926152458190918,0.003269516706310017,df2
0.05,0.9253361761569977,0.0031663716484018594,0.9255601263046265,0.0034552690491266914,df2
0.1,0.9261383879184723,0.003659274422278801,0.9259369504451752,0.0033051086425637424,df2
0.15000000000000002,0.926045024394989,0.002698442589461459,0.9245018291473389,0.0036314797305675053,df2
0.2,0.925724983215332,0.0032281243236887596,0.9228011798858643,0.002954839732211025,df2
0.25,0.9259076571464538,0.003302516724306001,0.9209712648391724,0.0034255177955309726,df2
0.30000000000000004,0.9262729370594025,0.003839919831500888,0.9182188475131988,0.003300101630942112,df2
0.35000000000000003,0.9247863113880157,0.0032979115812831225,0.9159830403327942,0.0037001314256701256,df2
0.4,0.9255585598945618,0.003839655747030222,0.9104347896575927,0.0037489790938852185,df2
0.45,0.9268205416202545,0.0029350151985133408,0.9060393762588501,0.003989327693856275,df2
0.5,0.9257116889953614,0.0032816738264049,0.9019810628890991,0.004156646417029469,df2
0.55,0.9258612823486329,0.00333529532708541,0.8972811019420623,0.004084915703787602,df2
0.6000000000000001,0.9260272014141083,0.003729009659400753,0.8902148234844208,0.0036233065568965477,df2
0.65,0.9255038690567017,0.003569989088499233,0.8832509422302246,0.004422912861391317,df2
0.7000000000000001,0.9262676286697388,0.0031142679721752253,0.8770064759254456,0.003960240235135958,df2
0.75,0.9253336155414581,0.003271081778626887,0.8700127625465393,0.004009123100556368,df2
0.8,0.9264943206310272,0.003743897326368685,0.8617988073825836,0.004503419264294573,df2
0.8500000000000001,0.9257970416545868,0.0036724496431177365,0.8543084251880646,0.003507445082725061,df2
0.9,0.9253297853469848,0.003610562689517683,0.8439498960971832,0.0048483799376054515,df2
0.9500000000000001,0.926253411769867,0.003444230744762348,0.8360983645915985,0.0040135303012003905,df2
1.0,0.9258177602291107,0.0035352130305391282,0.8286364090442657,0.004925271357842269,df2
0.0,0.8114813756942749,0.005605836337414501,0.8097050821781159,0.004679494072061281,df3
0.05,0.8101655125617981,0.005925950801166396,0.8088942861557007,0.004578197791982908,df3
0.1,0.8086464416980743,0.004807985730130119,0.8105938911437989,0.00559056376401634,df3
0.15000000000000002,0.8093918025493622,0.004504276700256807,0.8090452194213867,0.005859146511172344,df3
0.2,0.8094826185703278,0.005174889681002765,0.8090742564201355,0.00530912834703437,df3
0.25,0.8088102841377258,0.00409476138016307,0.8101378941535949,0.005014442699240296,df3
0.30000000000000004,0.8097048366069793,0.004598052231605561,0.8071581661701203,0.004322284631996865,df3
0.35000000000000003,0.8097139799594879,0.005020073345058698,0.810389004945755,0.00517704746309063,df3
0.4,0.8089409375190735,0.005134148764689671,0.810833728313446,0.004664825659475936,df3
0.45,0.8081775760650635,0.00445413034418323,0.8102113223075866,0.005390332998675498,df3
0.5,0.8089803445339203,0.00580535220473092,0.810837676525116,0.005428675462868108,df3
0.55,0.8097917366027833,0.005345473690678455,0.8117530405521393,0.004672844351125422,df3
0.6000000000000001,0.8098027741909027,0.0059313940222604404,0.810892825126648,0.004943138262099349,df3
0.65,0.8110954105854035,0.005620760937935593,0.8127131593227387,0.004308665480769226,df3
0.7000000000000001,0.8106548988819122,0.00462977322499245,0.8122820425033569,0.006300611658718494,df3
0.75,0.8100944352149964,0.0050796793041212995,0.8134607005119324,0.005694078909538846,df3
0.8,0.808958466053009,0.005054807535556737,0.8143358504772187,0.004718217990799648,df3
0.8500000000000001,0.8083083522319794,0.004272677961724111,0.8146119558811188,0.005050657908482988,df3
0.9,0.8105455672740937,0.004214684767576885,0.8171108198165894,0.005439079851835988,df3
0.9500000000000001,0.809629898071289,0.006076847326782046,0.8172925591468811,0.005121651961521774,df3
1.0,0.8099620234966278,0.004908659039338147,0.8187560260295867,0.004415803633977282,df3
