model_name,epoch,train_loss,train_acc,val_loss,val_acc,val_mean_prob
label_bce,1,0.8602061669031779,0.7272135416666666,0.6024287033081055,0.913,0.5591051940917968
label_bce,2,0.5241895218690237,0.9169921875,0.30666166949272156,0.913,0.8964730224609375
label_bce,3,0.30674566825230914,0.9208984375,0.23321016120910645,0.913,0.9509060974121094
label_bce,4,0.21992755929629007,0.9186197916666666,0.17305871880054474,0.916,0.8859781494140625
label_bce,5,0.15090914070606232,0.9212239583333334,0.1268281012773514,0.947,0.93939404296875
label_bce,6,0.11524642258882523,0.9453125,0.11351462101936341,0.945,0.9019818725585937
label_bce,7,0.09786477188269298,0.9547526041666666,0.09890692770481109,0.952,0.9163046875
label_bce,8,0.09679608295361201,0.9521484375,0.08936821609735489,0.955,0.9068903503417969
label_bce,9,0.07730533430973689,0.9664713541666666,0.08889532691240311,0.965,0.9245849914550781
label_bce,10,0.07556028167406718,0.9677734375,0.07683498406410218,0.968,0.906330078125
label_bce,11,0.06632441282272339,0.9713541666666666,0.07227938723564148,0.972,0.9280403137207032
label_bce,12,0.062331813077131905,0.9752604166666666,0.06101251012086868,0.976,0.9026321105957031
label_bce,13,0.05245238418380419,0.9765625,0.058559522986412045,0.975,0.9235765991210938
label_bce,14,0.05640283723672231,0.9749348958333334,0.06921396207809448,0.972,0.8882979125976562
label_bce,15,0.05624151354034742,0.9749348958333334,0.038956359952688216,0.983,0.9244994201660156
label_bce,16,0.03778244430820147,0.9853515625,0.045276659101247785,0.983,0.9091645202636719
label_bce,17,0.05069493129849434,0.9772135416666666,0.03998248738050461,0.985,0.9170504150390625
label_bce,18,0.054917442301909127,0.9768880208333334,0.06323057156801223,0.968,0.8894431457519532
label_bce,19,0.05433265368143717,0.9762369791666666,0.04820529076457024,0.977,0.9367454833984376
label_bce,20,0.04656005402406057,0.9820963541666666,0.053233595252037046,0.978,0.8968238830566406
label_bce,21,0.045862591514984764,0.9827473958333334,0.055858749598264694,0.977,0.9288462219238282
label_bce,22,0.0526021383702755,0.9762369791666666,0.054349604725837705,0.977,0.8953015747070312
label_bce,23,0.04301571473479271,0.9817708333333334,0.038972643047571184,0.983,0.923076904296875
label_bce,24,0.034407140066226326,0.9886067708333334,0.04267625856399536,0.982,0.9142080383300781
label_bce,25,0.04041375468174616,0.9830729166666666,0.03714761409163475,0.983,0.9110063781738281
label_bce,26,0.033797635386387505,0.984375,0.03897121921181679,0.986,0.9175524291992188
label_bce,27,0.03402956326802572,0.9869791666666666,0.03615762412548065,0.983,0.90671435546875
label_bce,28,0.037073408563931785,0.9820963541666666,0.03163236767053604,0.988,0.9238824768066406
label_bce,29,0.03286365916331609,0.9853515625,0.04182575038075447,0.984,0.9006148071289063
label_bce,30,0.035144991551836334,0.9833984375,0.029746193379163743,0.988,0.9200794677734375
