model_name,epoch,train_divergence,val_divergence
regularization_only,1,0.43304015199343365,0.6760865120887757
regularization_only,2,0.550782044728597,0.33633969926834106
regularization_only,3,0.2874820629755656,0.028641496658325195
regularization_only,4,0.04324197769165039,0.06350414657592773
regularization_only,5,0.041762471199035645,0.025869329452514647
regularization_only,6,0.020806233088175457,0.016725815773010255
regularization_only,7,0.009883960088094076,0.009147347450256348
regularization_only,8,0.006800254185994466,0.0064220170974731445
regularization_only,9,0.004480878512064616,0.005442553520202636
regularization_only,10,0.0027573108673095703,0.006648499488830567
regularization_only,11,0.0045557816823323565,0.005411006927490234
regularization_only,12,0.002270778020222982,0.0017591209411621093
regularization_only,13,0.00143126646677653,0.0010719747543334961
regularization_only,14,3.770987192789713e-05,0.00047334480285644533
regularization_only,15,0.0004962682723999023,0.0011406745910644532
regularization_only,16,0.00011551380157470703,0.001264585494995117
regularization_only,17,-0.00015266736348470053,0.0009750595092773437
regularization_only,18,-2.0623207092285156e-05,0.0015457916259765626
regularization_only,19,-0.00034948190053304035,0.0008982791900634766
regularization_only,20,-0.0001623233159383138,0.00023118114471435547
regularization_only,21,-0.0004392067591349284,0.0011445093154907227
regularization_only,22,-0.00033219655354817707,0.0004934806823730469
regularization_only,23,-0.00023678938547770181,0.000595982551574707
regularization_only,24,1.609325408935547e-05,0.0010737953186035155
regularization_only,25,7.061163584391276e-05,0.0007365942001342773
regularization_only,26,2.9842058817545574e-05,0.0014137067794799804
regularization_only,27,0.00034928321838378906,0.0006536703109741211
regularization_only,28,0.0001056989034016927,0.0015781440734863282
regularization_only,29,-0.00017233689626057944,0.0011462593078613282
regularization_only,30,-0.0002566973368326823,0.00012279224395751954
