setting,0.0,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
df1,0.06,0.2,0.18,0.08,0.18,0.28,0.32,0.44,0.58,0.48,0.48,0.66,0.78,0.68,0.72,0.88,0.8,0.78,0.86,0.8,0.84
df2,0.06,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
df3,0.08,0.1,0.16,0.18,0.28,0.34,0.46,0.46,0.6,0.6,0.72,0.62,0.7,0.68,0.8,0.82,0.94,0.9,0.84,0.86,0.78
