delta,pval_base,pval,setting,gap
0.0,0.08,0.12,df1,-0.039999999999999994
0.02,0.04,0.14,df1,-0.1
0.04,0.1,0.28,df1,-0.18000000000000002
0.06,0.0,0.06,df1,-0.06
0.08,0.12,0.22,df1,-0.1
0.1,0.06,0.1,df1,-0.04000000000000001
0.12,0.14,0.22,df1,-0.07999999999999999
0.14,0.14,0.34,df1,-0.2
0.16,0.1,0.42,df1,-0.31999999999999995
0.18,0.16,0.64,df1,-0.48
0.2,0.12,0.62,df1,-0.5
0.22,0.22,0.6,df1,-0.38
0.24,0.24,0.7,df1,-0.45999999999999996
0.26,0.22,0.8,df1,-0.5800000000000001
0.28,0.22,0.84,df1,-0.62
0.3,0.08,0.88,df1,-0.8
0.32,0.26,0.96,df1,-0.7
0.34,0.18,0.98,df1,-0.8
0.36,0.22,0.98,df1,-0.76
0.38,0.36,0.98,df1,-0.62
0.4,0.3,1.0,df1,-0.7
0.0,0.08,0.12,df2,-0.039999999999999994
0.02,0.04,0.1,df2,-0.060000000000000005
0.04,0.12,0.08,df2,0.039999999999999994
0.06,0.1,0.18,df2,-0.07999999999999999
0.08,0.04,0.1,df2,-0.060000000000000005
0.1,0.08,0.2,df2,-0.12000000000000001
0.12,0.04,0.24,df2,-0.19999999999999998
0.14,0.16,0.24,df2,-0.07999999999999999
0.16,0.16,0.38,df2,-0.22
0.18,0.08,0.42,df2,-0.33999999999999997
0.2,0.18,0.44,df2,-0.26
0.22,0.1,0.56,df2,-0.4600000000000001
0.24,0.28,0.66,df2,-0.38
0.26,0.2,0.64,df2,-0.44
0.28,0.14,0.66,df2,-0.52
0.3,0.14,0.64,df2,-0.5
0.32,0.18,0.76,df2,-0.5800000000000001
0.34,0.2,0.84,df2,-0.6399999999999999
0.36,0.22,0.8,df2,-0.5800000000000001
0.38,0.26,0.86,df2,-0.6
0.4,0.38,0.92,df2,-0.54
0.0,0.1,0.12,df3,-0.01999999999999999
0.025,0.06,0.08,df3,-0.020000000000000004
0.05,0.16,0.14,df3,0.01999999999999999
0.07500000000000001,0.08,0.1,df3,-0.020000000000000004
0.1,0.06,0.18,df3,-0.12
0.125,0.22,0.2,df3,0.01999999999999999
0.15000000000000002,0.1,0.22,df3,-0.12
0.17500000000000002,0.2,0.12,df3,0.08000000000000002
0.2,0.3,0.36,df3,-0.06
0.225,0.46,0.38,df3,0.08000000000000002
0.25,0.5,0.48,df3,0.020000000000000018
0.275,0.6,0.38,df3,0.21999999999999997
0.30000000000000004,0.6,0.58,df3,0.020000000000000018
0.325,0.74,0.58,df3,0.16000000000000003
0.35000000000000003,0.9,0.68,df3,0.21999999999999997
0.375,0.9,0.68,df3,0.21999999999999997
0.4,0.98,0.7,df3,0.28
0.42500000000000004,1.0,0.78,df3,0.21999999999999997
0.45,0.96,0.82,df3,0.14
0.47500000000000003,1.0,0.84,df3,0.16000000000000003
0.5,1.0,0.9,df3,0.09999999999999998
