delta,pval_base,pval,setting,gap
0.0,0.14,0.04,df1,0.1
0.05,0.14,0.32,df1,-0.18
0.1,0.24,0.82,df1,-0.58
0.15000000000000002,0.36,1.0,df1,-0.64
0.2,0.6,1.0,df1,-0.4
0.25,0.9,1.0,df1,-0.09999999999999998
0.30000000000000004,0.96,1.0,df1,-0.040000000000000036
0.35000000000000003,0.98,1.0,df1,-0.020000000000000018
0.4,1.0,1.0,df1,0.0
0.45,1.0,1.0,df1,0.0
0.5,1.0,1.0,df1,0.0
0.55,1.0,1.0,df1,0.0
0.6000000000000001,1.0,1.0,df1,0.0
0.65,1.0,1.0,df1,0.0
0.7000000000000001,1.0,1.0,df1,0.0
0.75,1.0,1.0,df1,0.0
0.8,1.0,1.0,df1,0.0
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.14,0.04,df2,0.1
0.05,0.1,0.08,df2,0.020000000000000004
0.1,0.12,0.22,df2,-0.1
0.15000000000000002,0.16,0.32,df2,-0.16
0.2,0.08,0.46,df2,-0.38
0.25,0.04,0.6,df2,-0.5599999999999999
0.30000000000000004,0.18,0.8,df2,-0.6200000000000001
0.35000000000000003,0.18,0.8,df2,-0.6200000000000001
0.4,0.16,0.96,df2,-0.7999999999999999
0.45,0.14,0.98,df2,-0.84
0.5,0.22,0.96,df2,-0.74
0.55,0.16,1.0,df2,-0.84
0.6000000000000001,0.18,1.0,df2,-0.8200000000000001
0.65,0.12,1.0,df2,-0.88
0.7000000000000001,0.18,1.0,df2,-0.8200000000000001
0.75,0.32,1.0,df2,-0.6799999999999999
0.8,0.6,1.0,df2,-0.4
0.8500000000000001,0.66,1.0,df2,-0.33999999999999997
0.9,0.82,1.0,df2,-0.18000000000000005
0.9500000000000001,0.92,1.0,df2,-0.07999999999999996
1.0,0.98,1.0,df2,-0.020000000000000018
0.0,1.0,1.0,df3,0.0
0.05,1.0,1.0,df3,0.0
0.1,1.0,1.0,df3,0.0
0.15000000000000002,1.0,1.0,df3,0.0
0.2,1.0,1.0,df3,0.0
0.25,1.0,1.0,df3,0.0
0.30000000000000004,1.0,1.0,df3,0.0
0.35000000000000003,1.0,1.0,df3,0.0
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
