setting,0.0,0.04,0.05,0.08,0.1,0.12,0.15000000000000002,0.16,0.2,0.24,0.25,0.28,0.30000000000000004,0.32,0.35000000000000003,0.36,0.4,0.44,0.45,0.48,0.5,0.52,0.55,0.56,0.6,0.6000000000000001,0.64,0.65,0.68,0.7000000000000001,0.72,0.75,0.76,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
df1,0.01999999999999999,0.020000000000000004,,-0.24,,-0.27999999999999997,,-0.5,-0.52,-0.7,,-0.72,,-0.6799999999999999,,-0.56,-0.56,-0.5,,-0.48,,-0.36,,-0.12,-0.14,,-0.09999999999999998,,-0.06000000000000005,,-0.07999999999999996,,0.0,-0.020000000000000018,,,,
df2,0.01999999999999999,-0.020000000000000018,,-0.12000000000000001,,-0.36,,-0.36,-0.52,-0.62,,-0.8,,-0.6799999999999999,,-0.56,-0.6599999999999999,-0.78,,-0.5800000000000001,,-0.56,,-0.48,-0.6,,-0.62,,-0.48,,-0.5,,-0.42000000000000004,-0.26,,,,
df3,0.01999999999999999,,-0.020000000000000004,,-0.02,,0.06,,0.14,,0.08000000000000002,,0.14,,0.27999999999999997,,0.58,,0.56,,0.5599999999999999,,0.33999999999999997,,,0.48,,0.38,,0.06000000000000005,,0.020000000000000018,,-0.020000000000000018,0.0,0.0,0.0,0.0
