model_name,epoch,train_divergence,val_divergence
regularization_only,1,0.11952942609786987,0.04310265064239502
regularization_only,2,0.03260133663813273,0.012326445579528809
regularization_only,3,0.009520312150319418,0.001293325424194336
regularization_only,4,0.0017140706380208333,0.0004967403411865234
regularization_only,5,0.0009559988975524902,0.0007456922531127929
regularization_only,6,0.0011653701464335124,-0.0005464792251586914
regularization_only,7,0.0014499624570210774,-0.001215825080871582
regularization_only,8,0.001629650592803955,-0.0009851503372192384
regularization_only,9,0.00039879480997721356,-5.238056182861328e-05
regularization_only,10,0.0003181298573811849,0.0010634565353393555
regularization_only,11,0.0005454421043395996,-0.0009707546234130859
regularization_only,12,0.0004926125208536783,-0.0011171150207519532
regularization_only,13,0.0012697180112202962,-0.00104736328125
regularization_only,14,0.0017486413319905598,-0.001062312126159668
regularization_only,15,0.001268625259399414,0.003134298324584961
regularization_only,16,0.001633306344350179,0.002817425727844238
regularization_only,17,0.0014768242835998535,0.0009810304641723632
regularization_only,18,0.001282334327697754,0.0009021377563476563
regularization_only,19,0.00309141476949056,-0.0011882305145263672
regularization_only,20,0.001954933007558187,0.0006830024719238281
regularization_only,21,0.0015590190887451172,3.032207489013672e-05
regularization_only,22,0.00015487273534138998,-0.0012406587600708007
regularization_only,23,0.00015240907669067383,-0.0003590965270996094
regularization_only,24,0.0004012584686279297,4.785060882568359e-05
regularization_only,25,0.00032323598861694336,0.0003197574615478516
regularization_only,26,0.0012914737065633137,-0.00010490894317626953
regularization_only,27,0.00038043657938639325,-0.0006596517562866211
regularization_only,28,0.0019650856653849282,-0.0012917709350585937
regularization_only,29,0.00017563501993815103,-0.0009100151062011719
regularization_only,30,0.00019212563832600912,-0.0010121488571166993
regularization_only,31,0.00011110305786132812,-0.0007583093643188476
regularization_only,32,0.0006543000539143881,-0.0008677959442138672
regularization_only,33,4.967053731282552e-05,0.0008259010314941406
regularization_only,34,0.002377669016520182,0.006497349739074707
regularization_only,35,0.0030263264973958335,-0.00039655208587646484
regularization_only,36,0.001278698444366455,0.0002942848205566406
regularization_only,37,0.001225590705871582,-0.0007616090774536133
regularization_only,38,0.0005747278531392416,-0.0005321359634399414
regularization_only,39,0.0006665587425231934,-0.0010470914840698241
regularization_only,40,0.00029198328653971356,-2.0842552185058594e-05
regularization_only,41,5.799531936645508e-05,-0.001210622787475586
regularization_only,42,7.345279057820638e-05,0.0011643266677856445
regularization_only,43,0.00023285547892252603,-0.0012741470336914062
regularization_only,44,-8.594989776611328e-05,-0.0008658218383789062
regularization_only,45,-0.0002637306849161784,-0.0011481761932373047
regularization_only,46,-0.00045877695083618164,-0.0009115982055664062
regularization_only,47,-9.107589721679688e-05,-0.00122164249420166
regularization_only,48,0.0005597074826558431,-0.0006047201156616211
regularization_only,49,0.0001919865608215332,-0.0007571220397949219
regularization_only,50,8.823474248250325e-05,-0.0011800909042358398
regularization_only,51,-0.00042311350504557293,-0.0011928558349609375
regularization_only,52,0.0008428494135538737,-0.0002834796905517578
regularization_only,53,0.00018169482549031576,0.0001618194580078125
regularization_only,54,0.0001679062843322754,-0.0013160848617553712
regularization_only,55,6.371736526489258e-05,-0.0008508539199829101
regularization_only,56,0.00041083494822184247,-0.0010522174835205077
regularization_only,57,0.00011396408081054688,0.0002834987640380859
regularization_only,58,0.00037544965744018555,-0.0013710451126098633
regularization_only,59,-0.0003753503163655599,-0.0011069965362548828
regularization_only,60,-0.00020013252894083658,-0.0010490703582763672
regularization_only,61,-0.0004448692003885905,-0.0009418869018554687
regularization_only,62,-2.3504098256429035e-05,-0.001322951316833496
regularization_only,63,-0.00021451711654663086,-0.0011121416091918945
regularization_only,64,-3.8623809814453125e-05,-0.0010042285919189453
regularization_only,65,-0.0002494057019551595,-0.0013669919967651367
regularization_only,66,0.00046831369400024414,-0.0012611818313598632
regularization_only,67,0.0003300110499064128,0.0017072105407714845
regularization_only,68,0.0004443526268005371,-0.0012108612060546876
regularization_only,69,0.0006007353464762369,-0.0003045940399169922
regularization_only,70,0.0011550386746724446,-0.00037009716033935546
