delta,pval_base,pval,setting,gap
0.0,0.08,0.1,df1,-0.020000000000000004
0.05,0.24,0.12,df1,0.12
0.1,0.74,0.26,df1,0.48
0.15000000000000002,0.92,0.32,df1,0.6000000000000001
0.2,1.0,0.8,df1,0.19999999999999996
0.25,1.0,0.86,df1,0.14
0.30000000000000004,1.0,0.96,df1,0.040000000000000036
0.35000000000000003,1.0,0.98,df1,0.020000000000000018
0.4,1.0,0.98,df1,0.020000000000000018
0.45,1.0,1.0,df1,0.0
0.5,1.0,1.0,df1,0.0
0.55,1.0,1.0,df1,0.0
0.6000000000000001,1.0,1.0,df1,0.0
0.65,1.0,1.0,df1,0.0
0.7000000000000001,1.0,1.0,df1,0.0
0.75,1.0,1.0,df1,0.0
0.8,1.0,1.0,df1,0.0
0.8500000000000001,1.0,1.0,df1,0.0
0.9,1.0,1.0,df1,0.0
0.9500000000000001,1.0,1.0,df1,0.0
1.0,1.0,1.0,df1,0.0
0.0,0.08,0.1,df2,-0.020000000000000004
0.05,0.18,0.4,df2,-0.22000000000000003
0.1,0.44,0.82,df2,-0.37999999999999995
0.15000000000000002,0.68,1.0,df2,-0.31999999999999995
0.2,0.9,1.0,df2,-0.09999999999999998
0.25,1.0,1.0,df2,0.0
0.30000000000000004,1.0,1.0,df2,0.0
0.35000000000000003,1.0,1.0,df2,0.0
0.4,1.0,1.0,df2,0.0
0.45,1.0,1.0,df2,0.0
0.5,1.0,1.0,df2,0.0
0.55,1.0,1.0,df2,0.0
0.6000000000000001,1.0,1.0,df2,0.0
0.65,1.0,1.0,df2,0.0
0.7000000000000001,1.0,1.0,df2,0.0
0.75,1.0,1.0,df2,0.0
0.8,1.0,1.0,df2,0.0
0.8500000000000001,1.0,1.0,df2,0.0
0.9,1.0,1.0,df2,0.0
0.9500000000000001,1.0,1.0,df2,0.0
1.0,1.0,1.0,df2,0.0
0.0,0.1,0.12,df3,-0.01999999999999999
0.05,0.4,0.14,df3,0.26
0.1,0.84,0.1,df3,0.74
0.15000000000000002,1.0,0.22,df3,0.78
0.2,1.0,0.28,df3,0.72
0.25,1.0,0.22,df3,0.78
0.30000000000000004,1.0,0.42,df3,0.5800000000000001
0.35000000000000003,1.0,0.42,df3,0.5800000000000001
0.4,1.0,0.46,df3,0.54
0.45,1.0,0.62,df3,0.38
0.5,1.0,0.86,df3,0.14
0.55,1.0,0.94,df3,0.06000000000000005
0.6000000000000001,1.0,0.94,df3,0.06000000000000005
0.65,1.0,0.98,df3,0.020000000000000018
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
