delta,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std,setting
0.0,0.9192613101005555,0.003175489831959615,0.9196502220630646,0.003906681506216932,df1
0.05,0.9194821631908416,0.0033525648707437698,0.9199976682662964,0.0037822826889583314,df1
0.1,0.9196398818492889,0.003764423241948733,0.917924256324768,0.004060529299648975,df1
0.15000000000000002,0.9192802941799164,0.003597722129737833,0.9194533514976502,0.003276188966293002,df1
0.2,0.92056600689888,0.003382165977630892,0.9193586099147797,0.0035601225548405504,df1
0.25,0.9190240120887756,0.0036906078394500124,0.9202601325511932,0.0033533943772550666,df1
0.30000000000000004,0.9195544338226318,0.003121132416068662,0.9188689601421356,0.0035830379590373286,df1
0.35000000000000003,0.9194342279434204,0.0038490241200622847,0.9193548488616944,0.003819194421957196,df1
0.4,0.9190370333194733,0.00354789564880464,0.9201678037643433,0.003735646923581591,df1
0.45,0.9186449778079987,0.0041185601327401915,0.9191235673427581,0.003858224941117397,df1
0.5,0.9192434215545654,0.0036621354059111723,0.9191696310043335,0.0037387850981012247,df1
0.55,0.9194532918930054,0.003486657069206875,0.9186299622058869,0.004157373624834156,df1
0.6000000000000001,0.920311632156372,0.003570510413938891,0.9196329534053802,0.003750585235546322,df1
0.65,0.919431871175766,0.0037033013478659643,0.9191495215892792,0.0035820106469100933,df1
0.7000000000000001,0.91932581782341,0.00390953617407517,0.919144526720047,0.003907487849686315,df1
0.75,0.9190664279460907,0.003932187059868713,0.919153870344162,0.0036147488901075143,df1
0.8,0.9198393476009369,0.0040544762958343306,0.9201377987861633,0.0036673129693329293,df1
0.8500000000000001,0.9187402844429016,0.00356378202013121,0.9211270892620087,0.004085831346572111,df1
0.9,0.9204163265228271,0.0037173718031034693,0.9209819424152375,0.00397127470918101,df1
0.9500000000000001,0.91973228931427,0.003399520312732321,0.9205226421356201,0.0033915273280722648,df1
1.0,0.9188867151737213,0.002964122318273076,0.9206192767620087,0.0035503241817954542,df1
0.0,0.9192613101005555,0.003175489831959615,0.9196502220630646,0.003906681506216932,df2
0.05,0.9194821631908416,0.0033525648707437698,0.9195793569087982,0.00381011802298227,df2
0.1,0.9196398818492889,0.003764423241948733,0.9162811672687531,0.0036798640346028698,df2
0.15000000000000002,0.9192802941799164,0.003597722129737833,0.9161424827575684,0.0036846809856593303,df2
0.2,0.92056600689888,0.003382165977630892,0.9138729298114776,0.003544935701258718,df2
0.25,0.9190240120887756,0.0036906078394500124,0.9120519638061524,0.0033404525039533,df2
0.30000000000000004,0.9195544338226318,0.003121132416068662,0.9072652578353881,0.003704842045159912,df2
0.35000000000000003,0.9194342279434204,0.0038490241200622847,0.9040399038791657,0.004168141621614528,df2
0.4,0.9190370333194733,0.00354789564880464,0.8998945164680481,0.004121831571685117,df2
0.45,0.9186449778079987,0.0041185601327401915,0.8935343241691589,0.004073093700184938,df2
0.5,0.9192434215545654,0.0036621354059111723,0.8881328094005585,0.0036684281385359345,df2
0.55,0.9194532918930054,0.003486657069206875,0.8808371222019196,0.0036970209713233096,df2
0.6000000000000001,0.920311632156372,0.003570510413938891,0.8757829880714416,0.005026296565394069,df2
0.65,0.919431871175766,0.0037033013478659643,0.8673196470737458,0.004363518916764859,df2
0.7000000000000001,0.91932581782341,0.00390953617407517,0.8592068994045258,0.005375348471081106,df2
0.75,0.9190664279460907,0.003932187059868713,0.8503452777862549,0.004712583493677655,df2
0.8,0.9198393476009369,0.0040544762958343306,0.8411226689815521,0.004609808117473464,df2
0.8500000000000001,0.9187402844429016,0.00356378202013121,0.8314495587348938,0.005043670727574203,df2
0.9,0.9204163265228271,0.0037173718031034693,0.8229095900058746,0.005773189233751075,df2
0.9500000000000001,0.91973228931427,0.003399520312732321,0.8107124292850494,0.004967175251225009,df2
1.0,0.9188867151737213,0.002964122318273076,0.7995691359043121,0.005179106965100665,df2
