epoch,train_loss,val_loss,val_recon_raw,val_divergence_raw,train_div (enc-only),val_divergence (enc-only),train_recon,train_divergence,train_total_loss,train_safety_acc,train_safety_y1_acc,train_safety_y0_acc,train_frac_y1,train_frac_y0,val_recon,val_divergence,val_total_loss,val_safety_acc,val_safety_y1_acc,val_safety_y0_acc,val_frac_y1,val_frac_y0
1,0.2910282959540685,0.028405734610557558,0.027232159972190858,0.11735746383666992,0.12288288275400798,0.04760462760925293,0.026116018493970234,0.13229429721832275,0.02743896146615346,0.9733072916666666,0.9952144629563985,0.7270916334661355,0.9182942708333334,0.08170572916666667,0.027232159972190858,0.1173844051361084,0.028406004023551944,0.97875,0.9972789115646259,0.7692307692307693,0.91875,0.08125
2,0.07009078965832789,0.011660404458642006,0.01092869259417057,0.07317118644714356,0.03340522448221842,0.016346611976623536,0.010862124307701984,0.06620428959528606,0.011524167203654845,0.9246419270833334,1.0,0.06275303643724696,0.9195963541666666,0.08040364583333333,0.01092869259417057,0.07317915916442871,0.011660484185814857,0.92375,1.0,0.06153846153846154,0.91875,0.08125
3,0.038036880704263844,0.008020579877495765,0.0071778009086847306,0.08427789688110351,0.010532299677530924,0.0025146484375,0.006941298255696893,0.08107662200927734,0.007752064475789666,0.9365234375,1.0,0.21212121212121213,0.91943359375,0.08056640625,0.0071778009086847306,0.08427675247192383,0.00802056843340397,0.934375,0.9993197278911564,0.2,0.91875,0.08125
4,0.012994129210710526,0.017221373420953753,0.01658510461449623,0.06362688064575195,0.0030036568641662598,2.971649169921875e-05,0.016091434905926388,0.05988740921020508,0.01669030899802844,0.97802734375,0.978572693465557,0.971830985915493,0.9191080729166666,0.08089192708333333,0.01658510461449623,0.06361340522766114,0.01722123866677284,0.979375,0.9829931972789115,0.9384615384615385,0.91875,0.08125
5,0.012488020583987236,0.005369890548288823,0.004714994765818119,0.06548957824707032,0.0007064938545227051,-0.0007899761199951172,0.004521468111003439,0.06063441435496012,0.00512781225455304,0.9733072916666666,0.9978768577494692,0.6910569105691057,0.919921875,0.080078125,0.004714994765818119,0.06549081802368165,0.005369902946054936,0.97625,0.9993197278911564,0.7153846153846154,0.91875,0.08125
6,0.005379645347905655,0.0014844551539979875,0.0010921013331972062,0.039235382080078124,0.003325780232747396,0.0001534271240234375,0.0010462408924164872,0.040357848008473717,0.0014498193725012245,0.9498697916666666,0.9998230088495575,0.3785425101214575,0.9195963541666666,0.08040364583333333,0.0010921013331972062,0.03923688888549805,0.0014844702220521866,0.94875,0.9993197278911564,0.3769230769230769,0.91875,0.08125
7,0.003613856427061061,0.002647385513409972,0.0025387226697057485,0.010866284370422363,0.0032006502151489258,-0.0007618188858032227,0.0024636699041972556,0.008108476797739664,0.002544754672174652,0.9755859375,0.9982275788727402,0.7211155378486056,0.9182942708333334,0.08170572916666667,0.0025387226697057485,0.010832962989807128,0.0026470522996038196,0.97875,0.9993197278911564,0.7461538461538462,0.91875,0.08125
8,0.002374762591595451,0.001206216649711132,0.0011330251023173332,0.007319154739379882,0.00028699636459350586,0.0004978370666503906,0.0010656660500292976,0.004435618718465169,0.0011100222372139492,0.97265625,0.9989380530973452,0.6720647773279352,0.9195963541666666,0.08040364583333333,0.0011330251023173332,0.007318959236145019,0.0012062146946787834,0.97625,0.9993197278911564,0.7153846153846154,0.91875,0.08125
9,0.0012494322533408801,0.0006696993685327471,0.0006577596045099199,0.0011939764022827148,0.0012311140696207683,0.0006791114807128906,0.0006123271305114031,0.0009601910909016927,0.0006219290414204201,0.9625651041666666,0.9992914083259522,0.5470941883767535,0.9187825520833334,0.08121744791666667,0.0006577596045099199,0.0011949920654296875,0.0006697095251642168,0.963125,0.9993197278911564,0.5538461538461539,0.91875,0.08125
10,0.0009079435937261829,0.0007787494217976927,0.0006911469018086791,0.008760251998901368,0.0012582937876383464,0.0018713951110839843,0.0006553594915506741,0.01218642791112264,0.0007772237706619005,0.97314453125,0.9985840707964602,0.6821862348178138,0.9195963541666666,0.08040364583333333,0.0006911469018086791,0.00875885009765625,0.0007787354027852416,0.976875,0.9993197278911564,0.7230769230769231,0.91875,0.08125
11,0.0006888046045787632,0.0004827274429611862,0.0004634835827164352,0.0019243860244750977,0.0024030407269795737,0.0012086296081542968,0.0004376832172662641,0.0011842648188273113,0.0004495258654545372,0.9679361979166666,0.9994683678894205,0.6127744510978044,0.91845703125,0.08154296875,0.0004634835827164352,0.0019208955764770507,0.0004826925384812057,0.97125,0.9993197278911564,0.6538461538461539,0.91875,0.08125
12,0.000508338533109054,0.0003950728031340986,0.00038709150278009474,0.0007981300354003906,0.0023131966590881348,-0.0012407970428466796,0.00036187280784361064,0.00011676549911499023,0.00036304046283476056,0.9669596354166666,0.999291031549096,0.603585657370518,0.9182942708333334,0.08170572916666667,0.00038709150278009474,0.0007996273040771485,0.00039508777582086623,0.970625,0.9993197278911564,0.6461538461538462,0.91875,0.08125
13,0.0003887532075168565,0.0003619340562727302,0.0003647068643476814,-0.0002772808074951172,0.0006280938784281412,-0.0009414768218994141,0.0003396356381320705,0.0007621645927429199,0.0003472572840594997,0.9710286458333334,0.9991144172865746,0.6526104417670683,0.9189453125,0.0810546875,0.0003647068643476814,-0.00027776241302490234,0.00036192924021743235,0.975,0.9993197278911564,0.7,0.91875,0.08125
14,0.00033434410094438743,0.00028930593656841663,0.0002874447457725182,0.00018611907958984375,-2.382198969523112e-05,-0.0010368633270263672,0.000263137073488906,-9.950002034505208e-05,0.0002621420732854555,0.9680989583333334,0.9992920353982301,0.611336032388664,0.9195963541666666,0.08040364583333333,0.0002874447457725182,0.0002074432373046875,0.0002895191781455651,0.97125,0.9993197278911564,0.6538461538461539,0.91875,0.08125
15,0.0002779617085858869,0.00024747344960924237,0.000249501247308217,-0.00020277976989746093,0.0005901455879211426,-0.000723733901977539,0.00023043790861265734,0.0004693468411763509,0.00023513137702442085,0.9676106770833334,0.9992914083259522,0.6092184368737475,0.9187825520833334,0.08121744791666667,0.000249501247308217,-0.00020635128021240234,0.000247437734506093,0.971875,0.9993197278911564,0.6615384615384615,0.91875,0.08125
